sk_cid;cd_cid;ds_cid;dt_carga
-1;-1;inválido;2025-10-04 02:54:51
0;a000;cólera devida a vibrio cholerae 01, biótipo cholerae;2025-10-04 02:54:51
1;a001;cólera devida a vibrio cholerae 01, biótipo el tor;2025-10-04 02:54:51
2;a009;cólera não especificada;2025-10-04 02:54:51
3;a010;febre tifóide;2025-10-04 02:54:51
4;a011;febre paratifóide a;2025-10-04 02:54:51
5;a012;febre paratifóide b;2025-10-04 02:54:51
6;a013;febre paratifóide c;2025-10-04 02:54:51
7;a014;febre paratifóide não especificada;2025-10-04 02:54:51
8;a020;enterite por salmonela;2025-10-04 02:54:51
9;a021;septicemia por salmonela;2025-10-04 02:54:51
10;a022;infecções localizadas por salmonela;2025-10-04 02:54:51
11;a028;outras infecções especificadas por salmonela;2025-10-04 02:54:51
12;a029;infecção não especificada por salmonela;2025-10-04 02:54:51
13;a030;shiguelose devida a shigella dysenteriae;2025-10-04 02:54:51
14;a031;shiguelose devida a shigella flexneri;2025-10-04 02:54:51
15;a032;shiguelose devida a shigella boydii;2025-10-04 02:54:51
16;a033;shiguelose devida a shigella sonnei;2025-10-04 02:54:51
17;a038;outras shigueloses;2025-10-04 02:54:51
18;a039;shiguelose não especificada;2025-10-04 02:54:51
19;a040;infecção por escherichia coli enteropatogênica;2025-10-04 02:54:51
20;a041;infecção por escherichia coli enterotoxigênica;2025-10-04 02:54:51
21;a042;infecção por escherichia coli enteroinvasiva;2025-10-04 02:54:51
22;a043;infecção por escherichia coli enterohemorrágica;2025-10-04 02:54:51
23;a044;outras infecções intestinais por escherichia coli;2025-10-04 02:54:51
24;a045;enterite por campylobacter;2025-10-04 02:54:51
25;a046;enterite devida a yersinia enterocolítica;2025-10-04 02:54:51
26;a047;enterocolite devida a clostridium difficile;2025-10-04 02:54:51
27;a048;outras infecções bacterianas intestinais especificadas;2025-10-04 02:54:51
28;a049;infecção intestinal bacteriana não especificada;2025-10-04 02:54:51
29;a050;intoxicação alimentar estafilocócica;2025-10-04 02:54:51
30;a051;botulismo;2025-10-04 02:54:51
31;a052;intoxicação alimentar devida a clostridium perfringens [clostridium welchii];2025-10-04 02:54:51
32;a053;intoxicação alimentar devida a vibrio parahemolyticus;2025-10-04 02:54:51
33;a054;intoxicação alimentar devida a bacillus cereus;2025-10-04 02:54:51
34;a058;outras intoxicações alimentares bacterianas especificadas;2025-10-04 02:54:51
35;a059;intoxicação alimentar bacteriana não especificada;2025-10-04 02:54:51
36;a060;disenteria amebiana aguda;2025-10-04 02:54:51
37;a061;amebíase intestinal crônica;2025-10-04 02:54:51
38;a062;colite amebiana não-disentérica;2025-10-04 02:54:51
39;a063;ameboma intestinal;2025-10-04 02:54:51
40;a064;abscesso amebiano do fígado;2025-10-04 02:54:51
41;a065;abscesso amebiano do pulmão;2025-10-04 02:54:51
42;a066;abscesso amebiano do cérebro;2025-10-04 02:54:51
43;a067;amebíase cutânea;2025-10-04 02:54:51
44;a068;infecção amebiana de outras localizações;2025-10-04 02:54:51
45;a069;amebíase não especificada;2025-10-04 02:54:51
46;a070;balantidíase;2025-10-04 02:54:51
47;a071;giardíase [lamblíase];2025-10-04 02:54:51
48;a072;criptosporidiose;2025-10-04 02:54:51
49;a073;isosporíase;2025-10-04 02:54:51
50;a078;outras doenças intestinais especificadas por protozoários;2025-10-04 02:54:51
51;a079;doença intestinal não especificada por protozoários;2025-10-04 02:54:51
52;a080;enterite por rotavírus;2025-10-04 02:54:51
53;a081;gastroenteropatia aguda pelo agente de norwalk;2025-10-04 02:54:51
54;a082;enterite por adenovírus;2025-10-04 02:54:51
55;a083;outras enterites virais;2025-10-04 02:54:51
56;a084;infecção intestinal devida a vírus não especificado;2025-10-04 02:54:51
57;a085;outras infecções intestinais especificadas;2025-10-04 02:54:51
58;a09;diarréia e gastroenterite de origem infecciosa presumível;2025-10-04 02:54:51
59;a150;tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura;2025-10-04 02:54:51
60;a151;tuberculose pulmonar, com confirmação somente por cultura;2025-10-04 02:54:51
61;a152;tuberculose pulmonar, com confirmação histológica;2025-10-04 02:54:51
62;a153;tuberculose pulmonar, com confirmação por meio não especificado;2025-10-04 02:54:51
63;a154;tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica;2025-10-04 02:54:51
