sk_local;cd_uf;nm_uf;cd_municipio;nm_municipio;dt_carga
-1;-1;inválido;-1;inválido;2025-10-03 23:54:51
2;11;rondônia;110001;alta floresta d'oeste;2025-10-03 23:54:51
3;11;rondônia;110002;ariquemes;2025-10-03 23:54:51
4;11;rondônia;110003;cabixi;2025-10-03 23:54:51
5;11;rondônia;110004;cacoal;2025-10-03 23:54:51
6;11;rondônia;110005;cerejeiras;2025-10-03 23:54:51
7;11;rondônia;110006;colorado do oeste;2025-10-03 23:54:51
8;11;rondônia;110007;corumbiara;2025-10-03 23:54:51
9;11;rondônia;110008;costa marques;2025-10-03 23:54:51
10;11;rondônia;110009;espigão d'oeste;2025-10-03 23:54:51
11;11;rondônia;110010;guajará-mirim;2025-10-03 23:54:51
12;11;rondônia;110011;jaru;2025-10-03 23:54:51
13;11;rondônia;110012;ji-paraná;2025-10-03 23:54:51
14;11;rondônia;110013;machadinho d'oeste;2025-10-03 23:54:51
15;11;rondônia;110014;nova brasilândia d'oeste;2025-10-03 23:54:51
16;11;rondônia;110015;ouro preto do oeste;2025-10-03 23:54:51
17;11;rondônia;110018;pimenta bueno;2025-10-03 23:54:51
18;11;rondônia;110020;porto velho;2025-10-03 23:54:51
19;11;rondônia;110025;presidente médici;2025-10-03 23:54:51
20;11;rondônia;110026;rio crespo;2025-10-03 23:54:51
21;11;rondônia;110028;rolim de moura;2025-10-03 23:54:51
22;11;rondônia;110029;santa luzia d'oeste;2025-10-03 23:54:51
23;11;rondônia;110030;vilhena;2025-10-03 23:54:51
24;11;rondônia;110032;são miguel do guaporé;2025-10-03 23:54:51
25;11;rondônia;110033;nova mamoré;2025-10-03 23:54:51
26;11;rondônia;110034;alvorada d'oeste;2025-10-03 23:54:51
27;11;rondônia;110037;alto alegre dos parecis;2025-10-03 23:54:51
28;11;rondônia;110040;alto paraíso;2025-10-03 23:54:51
29;11;rondônia;110045;buritis;2025-10-03 23:54:51
