sk_ocupacao;cd_ocupacao;ds_ocupacao;dt_carga
1;-1;inválido;2025-09-30 00:47:30
2;10105;oficial general da aeronáutica;2025-09-30 00:47:30
3;10110;oficial general do exército;2025-09-30 00:47:30
4;10115;oficial general da marinha;2025-09-30 00:47:30
5;10205;oficial da aeronáutica;2025-09-30 00:47:30
6;10210;oficial do exército;2025-09-30 00:47:30
7;10215;oficial da marinha;2025-09-30 00:47:30
8;10305;praça da aeronáutica;2025-09-30 00:47:30
9;10310;praça do exército;2025-09-30 00:47:30
10;10315;praça da marinha;2025-09-30 00:47:30
11;20105;coronel da polícia militar;2025-09-30 00:47:30
12;20110;tenente-coronel da polícia militar;2025-09-30 00:47:30
13;20115;major da polícia militar;2025-09-30 00:47:30
14;20205;capitão da polícia militar;2025-09-30 00:47:30
15;20305;primeiro tenente de polícia militar;2025-09-30 00:47:30
16;20310;segundo tenente de polícia militar;2025-09-30 00:47:30
17;21105;subtenente da policia militar;2025-09-30 00:47:30
18;21110;sargento da policia militar;2025-09-30 00:47:30
19;21205;cabo da polícia militar;2025-09-30 00:47:30
20;21210;soldado da polícia militar;2025-09-30 00:47:30
21;30105;coronel bombeiro militar;2025-09-30 00:47:30
22;30110;major bombeiro militar;2025-09-30 00:47:30
23;30115;tenente-coronel bombeiro militar;2025-09-30 00:47:30
24;30205;capitão bombeiro militar;2025-09-30 00:47:30
25;30305;tenente do corpo de bombeiros militar;2025-09-30 00:47:30
26;31105;subtenente bombeiro militar;2025-09-30 00:47:30
27;31110;sargento bombeiro militar;2025-09-30 00:47:30
28;31205;cabo bombeiro militar;2025-09-30 00:47:30
29;31210;soldado bombeiro militar;2025-09-30 00:47:30
30;111105;senador;2025-09-30 00:47:30
31;111110;deputado federal;2025-09-30 00:47:30
32;111115;deputado estadual e distrital;2025-09-30 00:47:30
33;111120;vereador;2025-09-30 00:47:30
34;111205;presidente da república;2025-09-30 00:47:30
35;111210;vice-presidente da república;2025-09-30 00:47:30
36;111215;ministro de estado;2025-09-30 00:47:30
37;111220;secretário - executivo;2025-09-30 00:47:30
38;111225;membro superior do poder executivo;2025-09-30 00:47:30
39;111230;governador de estado;2025-09-30 00:47:30
40;111235;governador do distrito federal;2025-09-30 00:47:30
41;111240;vice-governador de estado;2025-09-30 00:47:30
42;111245;vice-governador do distrito federal;2025-09-30 00:47:30
43;111250;prefeito;2025-09-30 00:47:30
44;111255;vice-prefeito;2025-09-30 00:47:30
45;111305;ministro do supremo tribunal federal;2025-09-30 00:47:30
46;111310;ministro do superior tribunal de justiça;2025-09-30 00:47:30
47;111315;ministro do  superior tribunal militar;2025-09-30 00:47:30
48;111320;ministro do  superior tribunal do trabalho;2025-09-30 00:47:30
49;111325;juiz de direito;2025-09-30 00:47:30
50;111330;juiz federal;2025-09-30 00:47:30
51;111335;juiz auditor federal - justiça militar;2025-09-30 00:47:30
52;111340;juiz auditor estadual - justiça militar;2025-09-30 00:47:30
53;111345;juiz do trabalho;2025-09-30 00:47:30
54;111405;dirigente do serviço público federal;2025-09-30 00:47:30
55;111410;dirigente do serviço público estadual e distrital;2025-09-30 00:47:30
56;111415;dirigente do serviço público municipal;2025-09-30 00:47:30
57;111505;especialista de políticas públicas e gestão governamental - eppgg;2025-09-30 00:47:30
